User Description,RAM (GB),SSD (GB),GPU,Processor,Battery Life,Weight,Price (₹ INR)
"I am a business professional frequently traveling for work, requiring a lightweight, durable laptop with long battery life for presentations and reports.",4,256,No,Intel i7,15+ hours,Heavy (>2.5kg),29093.989999999998
"I am a journalist who writes and publishes articles, requiring a portable laptop with decent battery life and a reliable keyboard for long typing sessions.",32,128,Yes,Intel i5,15+ hours,Heavy (>2.5kg),79206.9
"I am a professional data scientist working with large datasets and building machine learning models, needing a high-performance laptop with excellent GPU capabilities.",16,512,Yes,Intel i5,5-10 hours,Lightweight (<1.5kg),82032.22
"I am a college student studying computer science, occasionally coding and requiring a lightweight laptop for both programming and presentations.",4,512,No,Ryzen 7,Up to 5 hours,Lightweight (<1.5kg),48103.479999999996
"I am a casual user who browses the web, streams videos, and occasionally uses productivity software, requiring a budget-friendly laptop.",8,128,No,Intel i5,5-10 hours,Standard (1.5-2.5kg),46086.58
"I am a software engineer developing and debugging large-scale applications, requiring a high-performance laptop with a fast processor and sufficient storage.",4,256,No,Ryzen 5,5-10 hours,Lightweight (<1.5kg),29062.449999999997
"I am a software engineer developing and debugging large-scale applications, requiring a high-performance laptop with a fast processor and sufficient storage.",16,512,Yes,Ryzen 7,15+ hours,Lightweight (<1.5kg),81008.83
"I am a video editor working on 4K video projects, requiring a laptop with powerful GPU, ample storage, and high RAM capacity for smooth performance.",8,512,No,Intel i5,Up to 5 hours,Standard (1.5-2.5kg),45010.07
"I am a journalist who writes and publishes articles, requiring a portable laptop with decent battery life and a reliable keyboard for long typing sessions.",8,128,No,Intel i3,5-10 hours,Heavy (>2.5kg),26955.079999999998
"I am a software engineer developing and debugging large-scale applications, requiring a high-performance laptop with a fast processor and sufficient storage.",8,128,No,Intel i3,10-15 hours,Standard (1.5-2.5kg),32764.25
"As a professional photographer, I often edit RAW images and require a laptop with high-resolution display support and plenty of RAM for running editing software.",8,1024,No,Intel i3,5-10 hours,Standard (1.5-2.5kg),30406.219999999998
"I am a casual user who browses the web, streams videos, and occasionally uses productivity software, requiring a budget-friendly laptop.",32,1024,Yes,Intel i7,10-15 hours,Lightweight (<1.5kg),56288.939999999995
"As a gamer, I play AAA titles and stream on platforms like Twitch, needing a laptop with a high-end GPU, a fast processor, and sufficient cooling systems.",4,512,No,Ryzen 7,5-10 hours,Heavy (>2.5kg),35539.77
"As a professional photographer, I often edit RAW images and require a laptop with high-resolution display support and plenty of RAM for running editing software.",8,128,No,Ryzen 5,Up to 5 hours,Standard (1.5-2.5kg),27153.449999999997
"I am a business professional frequently traveling for work, requiring a lightweight, durable laptop with long battery life for presentations and reports.",16,1024,Yes,Intel i7,10-15 hours,Lightweight (<1.5kg),65641.38
"I am a professional data scientist working with large datasets and building machine learning models, needing a high-performance laptop with excellent GPU capabilities.",4,128,No,Intel i5,5-10 hours,Lightweight (<1.5kg),36727.5
"I am a casual user who browses the web, streams videos, and occasionally uses productivity software, requiring a budget-friendly laptop.",16,256,Yes,Ryzen 5,Up to 5 hours,Heavy (>2.5kg),76006.42
"As a professional photographer, I often edit RAW images and require a laptop with high-resolution display support and plenty of RAM for running editing software.",4,1024,No,Ryzen 5,15+ hours,Lightweight (<1.5kg),32737.690000000002
"I am a professional data scientist working with large datasets and building machine learning models, needing a high-performance laptop with excellent GPU capabilities.",32,512,Yes,Intel i3,15+ hours,Standard (1.5-2.5kg),72618.36
"I am a professional data scientist working with large datasets and building machine learning models, needing a high-performance laptop with excellent GPU capabilities.",8,128,No,Intel i3,Up to 5 hours,Standard (1.5-2.5kg),47686.82
"I am a video editor working on 4K video projects, requiring a laptop with powerful GPU, ample storage, and high RAM capacity for smooth performance.",4,128,No,Ryzen 3,15+ hours,Lightweight (<1.5kg),28054.829999999998
"I am a video editor working on 4K video projects, requiring a laptop with powerful GPU, ample storage, and high RAM capacity for smooth performance.",4,1024,No,Ryzen 5,Up to 5 hours,Lightweight (<1.5kg),42648.72
"I am a journalist who writes and publishes articles, requiring a portable laptop with decent battery life and a reliable keyboard for long typing sessions.",4,512,No,Ryzen 7,10-15 hours,Lightweight (<1.5kg),25567.320000000003
"I am a journalist who writes and publishes articles, requiring a portable laptop with decent battery life and a reliable keyboard for long typing sessions.",4,128,No,Intel i3,10-15 hours,Lightweight (<1.5kg),25080.11
"I am a casual user who browses the web, streams videos, and occasionally uses productivity software, requiring a budget-friendly laptop.",4,512,No,Intel i5,Up to 5 hours,Heavy (>2.5kg),37898.630000000005
"I am a business professional frequently traveling for work, requiring a lightweight, durable laptop with long battery life for presentations and reports.",32,1024,Yes,Intel i7,10-15 hours,Heavy (>2.5kg),84527.2
"As a professional photographer, I often edit RAW images and require a laptop with high-resolution display support and plenty of RAM for running editing software.",4,256,No,Intel i5,Up to 5 hours,Standard (1.5-2.5kg),29148.77
"As a gamer, I play AAA titles and stream on platforms like Twitch, needing a laptop with a high-end GPU, a fast processor, and sufficient cooling systems.",16,128,Yes,Ryzen 3,5-10 hours,Lightweight (<1.5kg),73156.2
"I am a professional data scientist working with large datasets and building machine learning models, needing a high-performance laptop with excellent GPU capabilities.",8,128,No,Ryzen 7,5-10 hours,Lightweight (<1.5kg),27144.320000000003
"I am a journalist who writes and publishes articles, requiring a portable laptop with decent battery life and a reliable keyboard for long typing sessions.",4,256,No,Ryzen 5,5-10 hours,Heavy (>2.5kg),37281.11
"I am a software engineer developing and debugging large-scale applications, requiring a high-performance laptop with a fast processor and sufficient storage.",4,512,No,Ryzen 7,Up to 5 hours,Lightweight (<1.5kg),41454.35
"I am a college student studying computer science, occasionally coding and requiring a lightweight laptop for both programming and presentations.",4,1024,No,Ryzen 3,5-10 hours,Heavy (>2.5kg),31593.12
"As a professional photographer, I often edit RAW images and require a laptop with high-resolution display support and plenty of RAM for running editing software.",4,128,No,Intel i7,15+ hours,Lightweight (<1.5kg),35223.54
"I am a video editor working on 4K video projects, requiring a laptop with powerful GPU, ample storage, and high RAM capacity for smooth performance.",8,128,No,Intel i5,15+ hours,Lightweight (<1.5kg),44673.090000000004
"I am a journalist who writes and publishes articles, requiring a portable laptop with decent battery life and a reliable keyboard for long typing sessions.",32,256,Yes,Ryzen 7,10-15 hours,Lightweight (<1.5kg),93350.93000000001
"I am a college student studying computer science, occasionally coding and requiring a lightweight laptop for both programming and presentations.",8,1024,No,Ryzen 3,Up to 5 hours,Standard (1.5-2.5kg),47798.869999999995
"I am a college student studying computer science, occasionally coding and requiring a lightweight laptop for both programming and presentations.",4,128,No,Intel i5,15+ hours,Heavy (>2.5kg),34082.29
"I am a business professional frequently traveling for work, requiring a lightweight, durable laptop with long battery life for presentations and reports.",8,128,No,Ryzen 3,10-15 hours,Lightweight (<1.5kg),28893.13
